"Tx","Line","Batch","GRIA1","GRIN1","GRIN2A","GAD1","SLC32A1","SYT1","HLA-A"
"Ctrl","L1","L1_B1",11.471,12.08,11.526,11.013,11.54,11.475,11.474
"Ctrl","L1","L1_B1",10.285,12.024,11.078,11.38,11.585,11.059,11.887
"Ctrl","L1","L1_B1",10.393,12.31,11.695,11.479,11.855,11.68,10.962
"Ctrl","L1","L1_B2",11.967,11.069,11.126,11.112,11.804,12.2,11.182
"Ctrl","L1","L1_B2",11.154,11.632,11.602,11.982,10.684,12.518,11.393
"Ctrl","L1","L1_B2",10.417,12.003,12.023,11.296,11.291,10.769,11.106
"Ctrl","L1","L1_B3",12.192,11.722,11.782,12.4,12.242,12.521,12.33
"Ctrl","L1","L1_B3",12.885,11.847,12.505,11.807,11.898,12.972,12.118
"Ctrl","L1","L1_B3",13.225,11.712,12.32,11.913,11.761,12.18,13.087
"Ctrl","L2","L2_B1",9.163,8.649,9.826,9.878,9.063,9.269,9.736
"Ctrl","L2","L2_B1",9.25,9.418,9.264,10.008,9.672,9.226,10.861
"Ctrl","L2","L2_B1",8.497,9.705,9.797,10.003,9.17,9.677,8.981
"Ctrl","L2","L2_B2",10.876,11.247,9.774,9.956,10.254,11.345,11.054
"Ctrl","L2","L2_B2",10.326,11.169,11.491,11.671,10.728,10.99,11.695
"Ctrl","L2","L2_B2",10.874,10.145,11.079,11.155,10.028,10.806,10.797
"Ctrl","L2","L2_B3",9.75,10.322,9.322,9.384,9.921,9.247,8.856
"Ctrl","L2","L2_B3",9.915,9.064,8.673,9.749,9.155,9.647,8.895
"Ctrl","L2","L2_B3",9.093,9.45,9.719,8.912,9.492,9.123,9.38
"Ctrl","L3","L3_B1",11.399,10.935,11.388,10.598,11.172,11.006,11.801
"Ctrl","L3","L3_B1",10.288,11.085,11.143,11.171,11.146,11.694,11.521
"Ctrl","L3","L3_B1",10.754,11.24,11.222,10.547,12.051,11.367,10.077
"Ctrl","L3","L3_B2",11.31,11.795,11.443,11.83,11.322,11.856,11.385
"Ctrl","L3","L3_B2",10.528,11.723,11.92,12.384,12.308,11.607,11.731
